sentence,tokens,labels
"She has a master's degree from New York University, and enjoys a scoop of Matcha ice cream as much as getting a scoop at work.","['She', 'has', 'a', ""master's"", 'degree', 'from', 'New', 'York', 'University', ',', 'and', 'enjoys', 'a', 'scoop', 'of', 'Matcha', 'ice', 'cream', 'as', 'much', 'as', 'getting', 'a', 'scoop', 'at', 'work', '.']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'O']"
"Feb 2 (Reuters) - (This Feb 2 story has been corrected to remove the reference to Waymo being the only operator in the U.S. offering paid robotaxi services, in paragraph 5)  Alphabet (GOOGL.O), opens new tab unit Waymo said it had raised $16 billion in its latest fundraising round that valued the self-driving car startup at $126 billion, nearly tripling its valuation in less than two years.","['Feb', '2', '(', 'Reuters', ')', '(', 'This', 'Feb', '2', 'story', 'has', 'been', 'corrected', 'to', 'remove', 'the', 'reference', 'to', 'Waymo', 'being', 'the', 'only', 'operator', 'in', 'the', 'U', '.', 'S', '.', 'offering', 'paid', 'robotaxi', 'services', ',', 'in', 'paragraph', '5', ')', 'Alphabet', '(', 'GOOGL', '.', 'O', ')', ',', 'opens', 'new', 'tab', 'unit', 'Waymo', 'said', 'it', 'had', 'raised', '16', 'billion', 'in', 'its', 'latest', 'fundraising', 'round', 'that', 'valued', 'the', 'self', 'driving', 'car', 'startup', 'at', '126', 'billion', ',', 'nearly', 'tripling', 'its', 'valuation', 'in', 'less', 'than', 'two', 'years', '.']","['O', 'B-CARDINAL', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'B-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'B-ORG', 'O', 'B-ORG', 'B-LOC', 'B-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'O', 'B-LOC']"
"As one of the most sought-after applications of artificial intelligence, leading autonomous vehicle companies are investing heavily in commercializing their technology, with a focus on safety and regulatory collaboration to gain market share.","['As', 'one', 'of', 'the', 'most', 'sought', 'after', 'applications', 'of', 'artificial', 'intelligence', ',', 'leading', 'autonomous', 'vehicle', 'companies', 'are', 'investing', 'heavily', 'in', 'commercializing', 'their', 'technology', ',', 'with', 'a', 'focus', 'on', 'safety', 'and', 'regulatory', 'collaboration', 'to', 'gain', 'market', 'share', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The round was led by Dragoneer Investment Group, DST Global, and Sequoia Capital, with additional investments from Mubadala Capital, Andreessen Horowitz and T. Rowe Price.","['The', 'round', 'was', 'led', 'by', 'Dragoneer', 'Investment', 'Group', ',', 'DST', 'Global', ',', 'and', 'Sequoia', 'Capital', ',', 'with', 'additional', 'investments', 'from', 'Mubadala', 'Capital', ',', 'Andreessen', 'Horowitz', 'and', 'T', '.', 'Rowe', 'Price', '.']","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"As of the last external financing in 2024, Waymo was valued at $45 billion, based on data from Tracxn.","['As', 'of', 'the', 'last', 'external', 'financing', 'in', '2024', ',', 'Waymo', 'was', 'valued', 'at', '45', 'billion', ',', 'based', 'on', 'data', 'from', 'Tracxn', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'B-ORG', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"The company said it tripled its volume to 15 million rides in 2025, providing 400,000 rides weekly across six major U.S. metropolitan areas.","['The', 'company', 'said', 'it', 'tripled', 'its', 'volume', 'to', '15', 'million', 'rides', 'in', '2025', ',', 'providing', '400', ',', '000', 'rides', 'weekly', 'across', 'six', 'major', 'U', '.', 'S', '.', 'metropolitan', 'areas', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'B-CARDINAL', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC']"
"While Waymo remains the leader in the U.S. market, competition is brewing, with Elon Musk's Tesla (TSLA.O), opens new tab making robotaxis a core priority for the company, pivoting away from electric vehicles.","['While', 'Waymo', 'remains', 'the', 'leader', 'in', 'the', 'U', '.', 'S', '.', 'market', ',', 'competition', 'is', 'brewing', ',', 'with', 'Elon', ""Musk's"", 'Tesla', '(', 'TSLA', '.', 'O', ')', ',', 'opens', 'new', 'tab', 'making', 'robotaxis', 'a', 'core', 'priority', 'for', 'the', 'company', ',', 'pivoting', 'away', 'from', 'electric', 'vehicles', '.']","['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'B-LOC', 'B-ORG', 'B-LOC', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'B-ORG', 'B-LOC', 'B-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'B-LOC']"
"Amazon's (AMZN.O), opens new tab self-driving unit Zoox has also offered free robotaxi rides to the public on and around the Las Vegas Strip and in parts of San Francisco.","[""Amazon's"", '(', 'AMZN', '.', 'O', ')', ',', 'opens', 'new', 'tab', 'self', 'driving', 'unit', 'Zoox', 'has', 'also', 'offered', 'free', 'robotaxi', 'rides', 'to', 'the', 'public', 'on', 'and', 'around', 'the', 'Las', 'Vegas', 'Strip', 'and', 'in', 'parts', 'of', 'San', 'Francisco', '.']","['B-ORG', 'O', 'B-ORG', 'O', 'B-LOC', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'B-ORG', 'B-LOC', 'I-LOC', 'O']"
"However, safety concerns linger as the National Highway Traffic Safety Administration last week said it is opening an investigation after a Waymo self-driving vehicle struck a child near an elementary school in California.","['However', ',', 'safety', 'concerns', 'linger', 'as', 'the', 'National', 'Highway', 'Traffic', 'Safety', 'Administration', 'last', 'week', 'said', 'it', 'is', 'opening', 'an', 'investigation', 'after', 'a', 'Waymo', 'self', 'driving', 'vehicle', 'struck', 'a', 'child', 'near', 'an', 'elementary', 'school', 'in', 'California', '.']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'B-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'B-LOC', 'O']"
"KYIV, Feb 3 (Reuters) - President Volodymyr Zelenskiy accused Russia on Tuesday of exploiting a U.S.-backed energy truce to stockpile munitions and using them to attack Ukraine with hundreds of drones and a record number of ballistic missiles, a day before peace talks.","['KYIV', ',', 'Feb', '3', '(', 'Reuters', ')', 'President', 'Volodymyr', 'Zelenskiy', 'accused', 'Russia', 'on', 'Tuesday', 'of', 'exploiting', 'a', 'U', '.', 'S', '.', 'backed', 'energy', 'truce', 'to', 'stockpile', 'munitions', 'and', 'using', 'them', 'to', 'attack', 'Ukraine', 'with', 'hundreds', 'of', 'drones', 'and', 'a', 'record', 'number', 'of', 'ballistic', 'missiles', ',', 'a', 'day', 'before', 'peace', 'talks', '.']","['B-ORG', 'O', 'O', 'B-CARDINAL', 'O', 'B-NORP', 'O', 'B-NORP', 'B-PERSON', 'B-NORP', 'I-NORP', 'I-NORP', 'O', 'B-NORP', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'B-NORP', 'O', 'O', 'O', 'B-NORP', 'O', 'B-NORP', 'I-NORP', 'O', 'B-NORP', 'O', 'O', 'O', 'B-LOC', 'O', 'B-NORP', 'O', 'B-NORP', 'O', 'B-LOC', 'O', 'B-NORP', 'O', 'B-NORP', 'I-NORP', 'O', 'B-LOC', 'O', 'O', 'O', 'B-NORP', 'O']"
"Zelenskiy said Ukraine was waiting for U.S. reaction to Russia's overnight attack that damaged Ukraine's energy infrastructure, as Washington had prompted a short-lived ceasefire in attacks on energy targets.","['Zelenskiy', 'said', 'Ukraine', 'was', 'waiting', 'for', 'U', '.', 'S', '.', 'reaction', 'to', ""Russia's"", 'overnight', 'attack', 'that', 'damaged', ""Ukraine's"", 'energy', 'infrastructure', ',', 'as', 'Washington', 'had', 'prompted', 'a', 'short', 'lived', 'ceasefire', 'in', 'attacks', 'on', 'energy', 'targets', '.']","['B-PERSON', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'B-LOC']"
U.S. President Donald Trump told reporters Russian President Vladimir Putin had made an agreement that expired on Sunday.,"['U', '.', 'S', '.', 'President', 'Donald', 'Trump', 'told', 'reporters', 'Russian', 'President', 'Vladimir', 'Putin', 'had', 'made', 'an', 'agreement', 'that', 'expired', 'on', 'Sunday', '.']","['B-PERSON', 'B-LOC', 'B-NORP', 'B-LOC', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-NORP', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-LOC']"
"""It was Sunday to Sunday, and it opened up and he hit them hard last night,"" he said at the White House.","['""', 'It', 'was', 'Sunday', 'to', 'Sunday', ',', 'and', 'it', 'opened', 'up', 'and', 'he', 'hit', 'them', 'hard', 'last', 'night', ',', '""', 'he', 'said', 'at', 'the', 'White', 'House', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']"
"""He kept his word on that ... we'll take anything, because it's really, really cold over there.","['""', 'He', 'kept', 'his', 'word', 'on', 'that', '.', '.', '.', ""we'll"", 'take', 'anything', ',', 'because', ""it's"", 'really', ',', 'really', 'cold', 'over', 'there', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Asked if he was disappointed, Trump replied: ""I want him to end the war.""","['Asked', 'if', 'he', 'was', 'disappointed', ',', 'Trump', 'replied', ':', '""', 'I', 'want', 'him', 'to', 'end', 'the', 'war', '.', '""']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The attack knocked out heating in cities, including the capital Kyiv, during freezing temperatures, even as Ukrainian negotiators headed to Abu Dhabi for a second round of U.S.-brokered trilateral talks set for Wednesday and Thursday.","['The', 'attack', 'knocked', 'out', 'heating', 'in', 'cities', ',', 'including', 'the', 'capital', 'Kyiv', ',', 'during', 'freezing', 'temperatures', ',', 'even', 'as', 'Ukrainian', 'negotiators', 'headed', 'to', 'Abu', 'Dhabi', 'for', 'a', 'second', 'round', 'of', 'U', '.', 'S', '.', 'brokered', 'trilateral', 'talks', 'set', 'for', 'Wednesday', 'and', 'Thursday', '.']","['O', 'O', 'O', 'B-NORP', 'O', 'B-NORP', 'I-NORP', 'O', 'B-NORP', 'O', 'O', 'B-LOC', 'O', 'B-NORP', 'O', 'B-NORP', 'O', 'O', 'B-NORP', 'I-NORP', 'I-NORP', 'O', 'O', 'B-NORP', 'B-LOC', 'O', 'B-LOC', 'B-NORP', 'I-NORP', 'O', 'B-NORP', 'O', 'B-NORP', 'O', 'O', 'O', 'B-NORP', 'I-NORP', 'O', 'B-NORP', 'O', 'B-NORP', 'O']"
"""It was a deliberate attack against energy infrastructure, involving a record number of ballistic missiles,"" Zelenskiy wrote on X, a day after saying Moscow had largely observed the moratorium agreed by the two sides on energy facilities.","['""', 'It', 'was', 'a', 'deliberate', 'attack', 'against', 'energy', 'infrastructure', ',', 'involving', 'a', 'record', 'number', 'of', 'ballistic', 'missiles', ',', '""', 'Zelenskiy', 'wrote', 'on', 'X', ',', 'a', 'day', 'after', 'saying', 'Moscow', 'had', 'largely', 'observed', 'the', 'moratorium', 'agreed', 'by', 'the', 'two', 'sides', 'on', 'energy', 'facilities', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"""The Russian army exploited the U.S. proposal to briefly halt strikes - not to support diplomacy but to stockpile missiles.""","['""', 'The', 'Russian', 'army', 'exploited', 'the', 'U', '.', 'S', '.', 'proposal', 'to', 'briefly', 'halt', 'strikes', 'not', 'to', 'support', 'diplomacy', 'but', 'to', 'stockpile', 'missiles', '.', '""']","['O', 'O', 'B-NORP', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
PRESSURE ON UKRAINE  Ukraine is under U.S. pressure to agree to a peace deal while attacks by Russia on its energy system appear intended to freeze Ukrainians into submission.,"['PRESSURE', 'ON', 'UKRAINE', 'Ukraine', 'is', 'under', 'U', '.', 'S', '.', 'pressure', 'to', 'agree', 'to', 'a', 'peace', 'deal', 'while', 'attacks', 'by', 'Russia', 'on', 'its', 'energy', 'system', 'appear', 'intended', 'to', 'freeze', 'Ukrainians', 'into', 'submission', '.']","['O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-NORP', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'B-LOC']"
"The first round of trilateral talks in late January brought no movement on territorial issues, with Moscow demanding Kyiv cede more land in eastern Ukraine, which it refuses to do.","['The', 'first', 'round', 'of', 'trilateral', 'talks', 'in', 'late', 'January', 'brought', 'no', 'movement', 'on', 'territorial', 'issues', ',', 'with', 'Moscow', 'demanding', 'Kyiv', 'cede', 'more', 'land', 'in', 'eastern', 'Ukraine', ',', 'which', 'it', 'refuses', 'to', 'do', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Sharpening his tone from previous days, Zelenskiy said on Tuesday the work of Ukraine's negotiators would be ""adjusted accordingly"" after the attack, but offered no details.","['Sharpening', 'his', 'tone', 'from', 'previous', 'days', ',', 'Zelenskiy', 'said', 'on', 'Tuesday', 'the', 'work', 'of', ""Ukraine's"", 'negotiators', 'would', 'be', '""', 'adjusted', 'accordingly', '""', 'after', 'the', 'attack', ',', 'but', 'offered', 'no', 'details', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Speaking to reporters in Kyiv at a press conference with NATO Secretary General Mark Rutte, he said Ukraine would approach Washington to discuss new consequences for Russia.","['Speaking', 'to', 'reporters', 'in', 'Kyiv', 'at', 'a', 'press', 'conference', 'with', 'NATO', 'Secretary', 'General', 'Mark', 'Rutte', ',', 'he', 'said', 'Ukraine', 'would', 'approach', 'Washington', 'to', 'discuss', 'new', 'consequences', 'for', 'Russia', '.']","['B-LOC', 'I-LOC', 'O', 'B-LOC', 'I-LOC', 'B-ORG', 'B-LOC', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"In his nightly video address, Zelenskiy said: ""We expect a response from the United States to the Russian strikes.","['In', 'his', 'nightly', 'video', 'address', ',', 'Zelenskiy', 'said', ':', '""', 'We', 'expect', 'a', 'response', 'from', 'the', 'United', 'States', 'to', 'the', 'Russian', 'strikes', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-NORP', 'O', 'O']"
"It was America's proposal to stop strikes on energy infrastructure during diplomatic efforts and the cold winter period.""","['It', 'was', ""America's"", 'proposal', 'to', 'stop', 'strikes', 'on', 'energy', 'infrastructure', 'during', 'diplomatic', 'efforts', 'and', 'the', 'cold', 'winter', 'period', '.', '""']","['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
