Title,Sentence,clean_sentence
"US judge halts Trump plan to end protections for 350,000 Haitians","Summary  Companies  Lawsuit claims Noem hostile to nonwhite immigrants  Judge says that claim 'seems substantially likely'  Protected status would have ended on Wednesday  Feb 2 (Reuters) - A federal judge on Monday blocked the Trump administration from revoking legal protections for more than 350,000 Haitians in the U.S., preventing their potential deportation to a country that has been ravaged by gang violence.","federal judge Monday blocked Trump administration revoking legal protection 350,000 Haitians U.S. preventing potential deportation country ravaged gang violence"
"US judge halts Trump plan to end protections for 350,000 Haitians","U.S. District Judge Ana Reyes in Washington, D.C., halted, opens new tab the U.S. Department of Homeland Security's effort to terminate Haiti's Temporary Protected Status.",U.S. District Judge Ana Reyes Washington D.C. halted U.S. Department Homeland Security effort terminate Haiti Temporary Protected Status
"US judge halts Trump plan to end protections for 350,000 Haitians",The move would have taken effect on Wednesday despite spiraling violence there that has displaced more than 1.4 million people.,The move would taken effect Wednesday despite spiraling violence displaced 1.4 million people
"US judge halts Trump plan to end protections for 350,000 Haitians","Reyes, who was appointed by Democratic former President Joe Biden, issued the ruling in a class-action lawsuit brought by Haitians seeking to stop the administration from exposing them to deportation by ending their legal status.",Reyes appointed Democratic former President Joe Biden issued ruling class-action lawsuit brought Haitians seeking stop administration exposing deportation ending legal status
"US judge halts Trump plan to end protections for 350,000 Haitians",Reyes said in the ruling that Homeland Security Secretary Kristi Noem likely violated the procedures required to terminate the protected status of Haitian immigrants in the U.S. as well as the U.S. Constitution's Fifth Amendment guarantee of equal protection under the law.,Reyes said ruling Homeland Security Secretary Kristi Noem likely violated procedure required terminate protected status Haitian immigrant U.S. well U.S. Constitution Fifth Amendment guarantee equal protection law
"US judge halts Trump plan to end protections for 350,000 Haitians","""Plaintiffs charge that Secretary Noem preordained her termination decision and did so because of hostility to nonwhite immigrants.",Plaintiffs charge Secretary Noem preordained termination decision hostility nonwhite immigrant
"US judge halts Trump plan to end protections for 350,000 Haitians","This seems substantially likely,"" Reyes wrote.",This seems substantially likely Reyes wrote
"US judge halts Trump plan to end protections for 350,000 Haitians","The law firm representing the plaintiffs, Bryan Cave Leighton Paisner, praised the ruling, noting that Haiti remains extremely dangerous.",The law firm representing plaintiff Bryan Cave Leighton Paisner praised ruling noting Haiti remains extremely dangerous
"US judge halts Trump plan to end protections for 350,000 Haitians","""This ruling recognizes the grave risks Haitian TPS holders would face if forced to return, and it ensures that they can remain here in the United States – as legislated by Congress - to continue their lives, contributing to their communities, and supporting their families,"" the firm said in a statement.",This ruling recognizes grave risk Haitian TPS holder would face forced return ensures remain United States legislated Congress continue life contributing community supporting family firm said statement
"US judge halts Trump plan to end protections for 350,000 Haitians","TPS is available to people whose home country has experienced a natural disaster, armed conflict or other extraordinary event.",TPS available people whose home country experienced natural disaster armed conflict extraordinary event
"US judge halts Trump plan to end protections for 350,000 Haitians",It provides eligible migrants with work authorization and temporary protection from deportation.,provides eligible migrant work authorization temporary protection deportation
"US judge halts Trump plan to end protections for 350,000 Haitians","The Department of Homeland Security has moved to end the status for about a dozen countries as part of President Donald Trump's crackdown on immigration, saying TPS was always meant to be temporary and not a ""de facto amnesty program.""",The Department Homeland Security moved end status dozen country part President Donald Trump crackdown immigration saying TPS always meant temporary facto amnesty program
