tokens,labels,labels_encoded
"['Summary', 'Companies', 'Lawsuit', 'claims', 'Noem', 'hostile', 'to', 'nonwhite', 'immigrants', 'Judge', 'says', 'that', 'claim', ""'seems"", 'substantially', 'likely', ""'"", 'Protected', 'status', 'would', 'have', 'ended', 'on', 'Wednesday', 'Feb', '2', '(', 'Reuters', ')', '-', 'A', 'federal', 'judge', 'on', 'Monday', 'blocked', 'the', 'Trump', 'administration', 'from', 'revoking', 'legal', 'protections', 'for', 'more', 'than', '350,000', 'Haitians', 'in', 'the', 'U.S.', ',', 'preventing', 'their', 'potential', 'deportation', 'to', 'a', 'country', 'that', 'has', 'been', 'ravaged', 'by', 'gang', 'violence', '.']","['B-ORG', 'I-ORG', 'B-NORP', 'O', 'B-PERSON', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'B-DATE', 'I-DATE', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[9, 22, 7, 28, 10, 28, 28, 7, 28, 28, 28, 28, 28, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 1, 1, 16, 28, 9, 28, 28, 28, 28, 28, 28, 1, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 0, 7, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['U.S.', 'District', 'Judge', 'Ana', 'Reyes', 'in', 'Washington', ',', 'D.C.', ',', 'halted', ',', 'opens', 'new', 'tab', 'the', 'U.S.', 'Department', 'of', 'Homeland', 'Security', ""'s"", 'effort', 'to', 'terminate', 'Haiti', ""'s"", 'Temporary', 'Protected', 'Status', '.']","['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 10, 23, 28, 3, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 9, 22, 22, 22, 28, 28, 28, 28, 3, 28, 28, 28, 28, 28]"
"['The', 'move', 'would', 'have', 'taken', 'effect', 'on', 'Wednesday', 'despite', 'spiraling', 'violence', 'there', 'that', 'has', 'displaced', 'more', 'than', '1.4', 'million', 'people', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 1, 28, 28, 28, 28, 28, 28, 28, 28, 28, 0, 28, 28, 28]"
"['Reyes', ',', 'who', 'was', 'appointed', 'by', 'Democratic', 'former', 'President', 'Joe', 'Biden', ',', 'issued', 'the', 'ruling', 'in', 'a', 'class-action', 'lawsuit', 'brought', 'by', 'Haitians', 'seeking', 'to', 'stop', 'the', 'administration', 'from', 'exposing', 'them', 'to', 'deportation', 'by', 'ending', 'their', 'legal', 'status', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[10, 28, 28, 28, 28, 28, 7, 28, 28, 10, 23, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 7, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Reyes', 'said', 'in', 'the', 'ruling', 'that', 'Homeland', 'Security', 'Secretary', 'Kristi', 'Noem', 'likely', 'violated', 'the', 'procedures', 'required', 'to', 'terminate', 'the', 'protected', 'status', 'of', 'Haitian', 'immigrants', 'in', 'the', 'U.S.', 'as', 'well', 'as', 'the', 'U.S.', 'Constitution', ""'s"", 'Fifth', 'Amendment', 'guarantee', 'of', 'equal', 'protection', 'under', 'the', 'law', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'B-NORP', 'I-NORP', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'B-LOC']","[10, 28, 28, 28, 28, 28, 9, 22, 28, 10, 23, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 7, 28, 28, 28, 7, 28, 28, 28, 28, 7, 21, 28, 14, 27, 28, 28, 28, 28, 7, 28, 28, 5]"
"['``', 'Plaintiffs', 'charge', 'that', 'Secretary', 'Noem', 'preordained', 'her', 'termination', 'decision', 'and', 'did', 'so', 'because', 'of', 'hostility', 'to', 'nonwhite', 'immigrants', '.']","['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O']","[28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 7, 28, 28]"
"['The', 'law', 'firm', 'representing', 'the', 'plaintiffs', ',', 'Bryan', 'Cave', 'Leighton', 'Paisner', ',', 'praised', 'the', 'ruling', ',', 'noting', 'that', 'Haiti', 'remains', 'extremely', 'dangerous', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 3, 28, 28, 28, 28]"
"['``', 'This', 'ruling', 'recognizes', 'the', 'grave', 'risks', 'Haitian', 'TPS', 'holders', 'would', 'face', 'if', 'forced', 'to', 'return', ',', 'and', 'it', 'ensures', 'that', 'they', 'can', 'remain', 'here', 'in', 'the', 'United', 'States', '–', 'as', 'legislated', 'by', 'Congress', '-', 'to', 'continue', 'their', 'lives', ',', 'contributing', 'to', 'their', 'communities', ',', 'and', 'supporting', 'their', 'families', ',', ""''"", 'the', 'firm', 'said', 'in', 'a', 'statement', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 7, 9, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 9, 22, 28, 28, 28, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['TPS', 'is', 'available', 'to', 'people', 'whose', 'home', 'country', 'has', 'experienced', 'a', 'natural', 'disaster', ',', 'armed', 'conflict', 'or', 'other', 'extraordinary', 'event', '.']","['B-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[9, 28, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['It', 'provides', 'eligible', 'migrants', 'with', 'work', 'authorization', 'and', 'temporary', 'protection', 'from', 'deportation', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['The', 'Department', 'of', 'Homeland', 'Security', 'has', 'moved', 'to', 'end', 'the', 'status', 'for', 'about', 'a', 'dozen', 'countries', 'as', 'part', 'of', 'President', 'Donald', 'Trump', ""'s"", 'crackdown', 'on', 'immigration', ',', 'saying', 'TPS', 'was', 'always', 'meant', 'to', 'be', 'temporary', 'and', 'not', 'a', '``', 'de', 'facto', 'amnesty', 'program', '.', ""''""]","['B-ORG', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']","[9, 9, 22, 22, 22, 28, 28, 9, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 23, 28, 28, 28, 28, 28, 28, 9, 28, 28, 28, 9, 28, 9, 28, 28, 28, 28, 9, 28, 28, 28, 28, 28]"
"['Department', 'spokesperson', 'Tricia', 'McLaughlin', 'indicated', 'in', 'a', 'social', 'media', 'post', 'that', 'the', 'ruling', 'would', 'be', 'appealed', '.']","['B-ORG', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[9, 28, 10, 23, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
