Title,Sentence
"US judge halts Trump plan to end protections for 350,000 Haitians","Summary  Companies  Lawsuit claims Noem hostile to nonwhite immigrants  Judge says that claim 'seems substantially likely'  Protected status would have ended on Wednesday  Feb 2 (Reuters) - A federal judge on Monday blocked the Trump administration from revoking legal protections for more than 350,000 Haitians in the U.S., preventing their potential deportation to a country that has been ravaged by gang violence."
"US judge halts Trump plan to end protections for 350,000 Haitians","U.S. District Judge Ana Reyes in Washington, D.C., halted, opens new tab the U.S. Department of Homeland Security's effort to terminate Haiti's Temporary Protected Status."
"US judge halts Trump plan to end protections for 350,000 Haitians",The move would have taken effect on Wednesday despite spiraling violence there that has displaced more than 1.4 million people.
"US judge halts Trump plan to end protections for 350,000 Haitians",The Reuters Inside Track newsletter is your essential guide to the biggest events in global sport.
"US judge halts Trump plan to end protections for 350,000 Haitians","Reyes, who was appointed by Democratic former President Joe Biden, issued the ruling in a class-action lawsuit brought by Haitians seeking to stop the administration from exposing them to deportation by ending their legal status."
"US judge halts Trump plan to end protections for 350,000 Haitians",Reyes said in the ruling that Homeland Security Secretary Kristi Noem likely violated the procedures required to terminate the protected status of Haitian immigrants in the U.S. as well as the U.S. Constitution's Fifth Amendment guarantee of equal protection under the law.
"US judge halts Trump plan to end protections for 350,000 Haitians","""Plaintiffs charge that Secretary Noem preordained her termination decision and did so because of hostility to nonwhite immigrants."
"US judge halts Trump plan to end protections for 350,000 Haitians","This seems substantially likely,"" Reyes wrote."
"US judge halts Trump plan to end protections for 350,000 Haitians","The law firm representing the plaintiffs, Bryan Cave Leighton Paisner, praised the ruling, noting that Haiti remains extremely dangerous."
"US judge halts Trump plan to end protections for 350,000 Haitians","""This ruling recognizes the grave risks Haitian TPS holders would face if forced to return, and it ensures that they can remain here in the United States – as legislated by Congress - to continue their lives, contributing to their communities, and supporting their families,"" the firm said in a statement."
"US judge halts Trump plan to end protections for 350,000 Haitians","TPS is available to people whose home country has experienced a natural disaster, armed conflict or other extraordinary event."
"US judge halts Trump plan to end protections for 350,000 Haitians",It provides eligible migrants with work authorization and temporary protection from deportation.
"US judge halts Trump plan to end protections for 350,000 Haitians","The Department of Homeland Security has moved to end the status for about a dozen countries as part of President Donald Trump's crackdown on immigration, saying TPS was always meant to be temporary and not a ""de facto amnesty program."""
"US judge halts Trump plan to end protections for 350,000 Haitians",Department spokesperson Tricia McLaughlin indicated in a social media post that the ruling would be appealed.
